description;icao;iata;latitude_deg;longitude_deg
Nanortalik Heliport;BGNN;JNN;60.141.883.975.899.900;-45.232.976.675
Narsaq Heliport;BGNS;JNS;609.172.827.256;-46.059.923.172
Bongo Airport;BGP;BGP;-21.713;102.088
Paamiut Airport;BGPT;JFR;620.147.361.755;-496.709.365.845
Qeqertaq Heliport;BGQE;QQT;699.958.611.087;-513.009.166.718
Qaanaaq Airport;BGQQ;NAQ;774.886.016.846;-693.887.023.926
Ittoqqortoormiit Heliport;BGSC;OBY;704.882.288.244;-21.971.679.925.900.000
Kangerlussuaq Airport;BGSF;SFJ;670.122.218.992;-507.116.031.647
Sisimiut Airport;BGSS;JHS;669.513.015.747;-537.293.014.526
Thule Air Base;BGTL;THU;765.311.965.942;-687.032.012.939
Upernavik Airport;BGUK;JUV;727.901.992.798;-561.305.999.756
Uummannaq Heliport;BGUM;UMD;706.804.279.261;-52.111.630.439.799.900
Qaarsut Airport;BGUQ;JQA;707.341.995.239;-526.962.013.245
Bahía de los Ángeles Airport;BHL;BHL;289.786;-113.560.997
Brighton Downs Airport;BHT;BHT;-233.638.888.889;141.562.777.778
Akureyri Airport;BIAR;AEY;6.566.000.366.210.930;-1.807.270.050.048.820
Bildudalur Airport;BIBD;BIU;6.564.129.638.671.870;-23.546.199.798.583.900
Borgarfjörður eystri Airport;BIBF;BGJ;6.551.640.319.824.210;-13.805.000.305.175.700
Bakkafjörður Airport;BIBK;BJD;6.602.189.636.230.460;-14.824.399.948.120.100
Hjaltabakki Airport;BIBL;BLO;656.449.966.430.664;-20.287.500.381.469.700
Búðardalur Airport;BIBR;BQD;6.507.530.212.402.340;-2.180.030.059.814.450
Breiðdalsvík Airport;BIBV;BXV;6.479.000.091.552.730;-1.402.280.044.555.660
Djúpivogur Airport;BIDV;DJU;6.464.420.318.603.510;-1.428.279.972.076.410
Egilsstaðir Airport;BIEG;EGS;652.833.023.071.289;-14.401.399.612.426.700
Fáskrúðsfjörður Airport;BIFF;FAS;649.317.016.602;-140.606.002.808
Fagurhólsmýri Airport;BIFM;FAG;63.874.698.638.916.000;-1.664.109.992.980.950
Grundarfjörður Airport;BIGF;GUU;6.499.140.167.236.320;-23.224.700.927.734.300
Gjögur Airport;BIGJ;GJR;6.599.530.029.296.870;-21.326.900.482.177.700
Grímsey Airport;BIGR;GRY;665.458;-180.173
Hólmavík Airport;BIHK;HVK;6.570.469.665.527.340;-21.696.399.688.720.700
Hornafjörður Airport;BIHN;HFN;64.295.601;-152.272
Holt Airport;BIHT;FLI;660.141.804.294;-234.416.913.986
Húsavík Airport;BIHU;HZK;65.952.301;-17.426.001
Krókstaðarmelar Airport;BIHV;HVM;6.526.640.319.824.210;-20.846.900.939.941.400
Ingjaldssanður Airport;BIID;HLO;6.605.000.305.175.780;-2.369.610.023.498.530
Ísafjörður Airport;BIIS;IFJ;6.605.809.783.935.540;-23.135.299.682.617.100
Biliau Airport;BIJ;BIJ;-5.578;146.339
Keflavik International Airport;BIKF;KEF;63.985.000.610.352;-22.605.600.357.056
Kópasker Airport;BIKP;OPA;6.631.079.864.501.950;-16.466.699.600.219.700
Sauðárkrókur Airport;BIKR;SAK;6.573.169.708.249.990;-19.572.799.682.599.900
Norðfjörður Airport;BINF;NOR;6.513.189.697.265.620;-13.746.399.879.455.500
Ólafsfjörður Airport;BIOF;OFJ;6.608.329.772.949.210;-1.866.670.036.315.910
Patreksfjörður Airport;BIPA;PFJ;65.555.801;-23.965
Reykhólar Airport;BIRE;RHA;6.545.262.908.935.540;-2.220.611.572.265.620
Rif Airport;BIRF;OLI;649.113.998.413;-238.230.991.364
Raufarhöfn Airport;BIRG;RFN;6.640.640.258.789.060;-15.918.299.674.987.700
Reykjavik Airport;BIRK;RKV;641.299.972.534;-219.405.994.415
Reykjahlíð Airport;BIRL;MVA;6.565.579.986.572.260;-16.918.100.357.055.600
Siglufjörður Airport;BISI;SIJ;66.133.301;-189.167
Stykkishólmur Airport;BIST;SYK;6.505.809.783.935.540;-22.794.200.897.216.700
Þingeyri Airport;BITE;TEY;6.587.030.029.296.870;-23.559.999.465.942.300
Tálknafjörður Airport;BITF;TLK;65.676.037;-24.006.114
Thorshofn Airport;BITN;THO;6.621.849.822.998.040;-15.335.599.899.291.900
Vestmannaeyjar Airport;BIVM;VEY;6.342.430.114.746.090;-20.278.900.146.484.300
Vopnafjörður Airport;BIVO;VPN;6.572.059.631.347.650;-14.850.600.242.614.700
Bimin Airport;BIZ;BIZ;-528.611.111.111;142.033.055.556
Baleela Airport;BJE;BJE;11.199.444.444.400.000;285.230.555.556
Bahja Airport;BJQ;BJQ;198.730.555.556;56.067.777.777.799.900
Bentota River Waterdrome;BJT;BJT;6.431;79.996
Priština International Airport;BKPR;PRN;425.728;21.035.801
Bellows AFS (Bellows Field);BLW;BLW;21.370.833;-157.713.889
Bomai Airport;BMH;BMH;-637.316.666.667;144.637
Bamburi Airport;BMQ;BMQ;-398.191;39.730.768
Bamu Airport;BMZ;BMZ;-78.485;1.432.433
Warm Spring Bay Seaplane Base;BNF;BNF;570.887.985.229;-134.832.992.554
Bodinumu Airport;BNM;BNM;-9.107.777.777.779.990;147.666.722.222
Baganga airport;BNQ;BNQ;7.611.944.444.440.000;126.568.888.889
Bundi Airport;BNT;BNT;-5.742.222.222.220.000;1.452.275
Boana Airport;BNV;BNV;-6.433;146.825
Banz Airport;BNZ;BNZ;-5.807;144.623
Rurenabaque Airport;BO-0001;RBQ;-14.427.900.314.299.900;-674.968.032.837
Baures Airport;BO-BVL;BVL;-13.583.333.015.400.000;-635.833.320.618
Bolling Air Force Base;BOF;BOF;38.842.899.322.499.900;-770.160.980.225
Brookings Airport;BOK;BOK;42.074.600.219.699.900;-124.290.000.916
Boku Airport;BOQ;BOQ;-65.427;1.553.419
Bosset Airport;BOT;BOT;-72.408.333.333.299.900;141.092.333.333
Boang Airport;BOV;BOV;-33.834;1.532.812
Batuna Aerodrome;BPF;BPF;-856.202.777.778;158.119.305.556
Bartlett Cove Seaplane Base;BQV;BQV;584.552.001.953;-135.884.994.507
Tucumã Airport;BR-0015;TUZ;-67.488;-511.478
Alenquer Airport;BR-ALT;ALT;-1.917;-547.231
Suia-Missu Airport;BR-SWM;SWM;-11.671.699.523.925.700;-5.143.470.001.220.700
Whitesburg Municipal Airport;BRG;BRG;372.219;-828.742
Bimini North Seaplane Base;BS-NSB;NSB;25.767.000.198.364.200;-79.25
Blairsville;BSI;BSI;404.447.222.222;-792.886.388.889
Bensbach Airport;BSP;BSP;-885.805.555.556;141.259.444.444
Besakoa Airport;BSV;BSV;-156.725;470.616.666.667
Bulolo Airport;BUL;BUL;-7.216.286.671.410.000;146.649.541.855
Bolovip Airstrip;BVP;BVP;-53.633;141.655
Esperadinha Airport;BVR;BVR;14.864.305.555.600.000;-24.746
Hukuntsi Airport;BW-HUK;HUK;-239.897;21.758.101
Bawan Airport;BWJ;BWJ;-6.396.944.444.440.000;146.881.666.667
Bewani Airport;BWP;BWP;-30.216.666.666.700.000;141.165.277.778
Blue Lagoon Seaplane Base;BXL;BXL;-16.943;177.368
Bunsil Airport;BXZ;BXZ;-57.243;1.478.667
Boundary Airport;BYA;BYA;640.783.004.761;-141.113.006.592
Bella Yella Airport;BYL;BYL;736.916.666.667;-999.372.222.222
Beira Lake Seaplane Base;BYV;BYV;69.294.444.444.400.000;7.985.416.666.670.000
Belmopan Airport;BZ-BCV;BCV;172.696;-88.776.497
Big Creek Airport;BZ-BGK;BGK;1.651.936.912.536.620;-8.840.791.320.800.780
Caye Caulker Airport;BZ-CUK;CUK;17.734.699.249.267.500;-8.803.250.122.070.310
Caye Chapel Airport;BZ-CYC;CYC;177.007.999.420.166;-8.804.109.954.833.980
Corozal Municipal Airport;BZ-CZH;CZH;18.382.200.241.088.800;-8.841.190.338.134.760
Dangriga Airport;BZ-DGA;DGA;1.698.250.961.303.710;-8.823.098.754.882.810
Independence Airport;BZ-INB;INB;16.534.500.122.070.300;-8.844.129.943.847.650
Melinda Airport;BZ-MDB;MDB;170.042.991.638;-8.830.419.921.880.000
Orange Walk Airport;BZ-ORZ;ORZ;180.467.662.811;-8.858.386.993.410.000
Placencia Airport;BZ-PLJ;PLJ;16.536.956.787.109.300;-8.836.151.123.046.870
Punta Gorda Airport;BZ-PND;PND;16.102.399.826;-8.880.829.620.360.000
Sartaneja Airport;BZ-SJX;SJX;1.835.610.008.239.740;-8.813.079.833.984.370
San Pedro Airport;BZ-SPR;SPR;1.791.390.037.536.620;-8.797.109.985.351.560
Matthew Spain Airport;BZ-SQS;SQS;171.859;-890.098
Santa Cruz Airport;BZ-STU;STU;182.721.004.486.084;-88.456.298.828.125
Silver Creek Airport;BZ-SVK;SVK;16.725.299.835.205.000;-8.833.999.633.789.060
Belize City Municipal Airport;BZ-TZA;TZA;17.516.389.846.801.700;-8.819.444.274.902.340
Bazaruto Island Airport;BZB;BZB;-215.411;354.729
Bemolanga Airport;BZM;BZM;-176.925;450.888.333.333
Buzzards Point Seaplane Base;BZS;BZS;38.863;-77.011
Blissville Airport;CA-0053;YYS;45.605.633;-66.543.678
Clinton Creek Airport;CA-0095;YLM;64.475.545;-140.741.748
Deception Airport;CA-0112;YGY;62.112.314.446.199.900;-74.554.681.778
Lady Franklin Point Airport;CA-0201;YUJ;684.753.126.151;-113.224.411.011
Lupin Airport;CA-0213;YWO;657.666.702.271;-111.25
Moose Lake Airport;CA-0241;YAD;537.062.589.637;-100.343.971.252
Mould Bay Airport;CA-0245;YMD;762.392;-1.193.216
Paradise River Airport;CA-0274;YDE;53.43;-57.233.333.587.646
Rivers Airport;CA-0313;YYI;50.010.055.763.699.900;-100.313.930.511
Saglek Airport;CA-0322;YSV;58.475.119;-62.655.373
Terrace Bay Airport;CA-0378;YTJ;4.881.197.898.719.990;-8.709.943.771.360.000
Winisk Airport;CA-0412;YWN;552.242;-851.174
Stuart Island Airstrip;CA-0446;YRR;504.094.474.336;-125.131.616.592
Mary River Aerodrome;CA-0504;YMV;713.241.666.667;-793.569.444.444
Bedwell Harbour Seaplane Base;CAB3;YBW;48.75;-123.233.001.709
Tofino Harbour Seaplane Base;CAB4;YTP;49.155;-125.91
Bronson Creek Airport;CAB5;YBM;56.681.098.938;-131.087.005.615
Alice Arm/Silver City Seaplane Base;CAC3;ZAA;554.667.015.076;-129.483.001.709
Nanaimo Harbour Water Airport;CAC8;ZNA;491.833.000.183;-123.949.996.948
Trail Airport;CAD4;YZZ;490.555.992.126;-11.760.900.116
Merritt Airport;CAD5;YMB;50.122.798.919.699.900;-120.747.001.648
Campbell River Seaplane Base;CAE3;YHH;50.049.999;-125.25
Whistler/Green Lake Water Aerodrome;CAE5;YWS;501.436.004.639;-122.948.997.498
Bamfield Seaplane Base;CAE9;YBF;488.333.015.442;-125.133.003.235
Big Bay Seaplane Base;CAF6;YIG;503.923;-1.251.372
Chilko Lake (Tsylos Park Lodge) Airport;CAG3;CJH;51.626.098.632.799.900;-124.141.998.291
Pender Harbour Seaplane Base;CAG8;YPT;49.623.785;-124.024.884
Ocean Falls Seaplane Base;CAH2;ZOF;523.666.992.188;-127.717.002.869
Courtenay Airpark;CAH3;YCA;49.679.401.397.705;-1.249.820.022.583
Creston Valley Regional Airport - Art Sutcliffe Field;CAJ3;CFQ;4.903.689.956.665;-11.649.800.109.863
Anahim Lake Airport;CAJ4;YAA;5.245.249.938.964.840;-1.253.030.014.038.080
Douglas Lake Airport;CAL3;DGF;501.654.600.485;-120.171.273.351
Fort MacKay/Albian Aerodrome;CAL4;JHL;57.223.899.841.299.900;-111.418.998.718
Tahsis Seaplane Base;CAL9;ZTS;49.916.698.455.799.900;-126.666.999.817
Duncan Airport;CAM3;DUQ;487.545.336.204;-123.709.702.492
Port Simpson Seaplane Base;CAN8;YPI;545.667;-130.432.999
Sechelt-Gibsons Airport;CAP3;YHS;49.460.601.806.599.900;-12.371.900.177
Kitkatla Seaplane Base;CAP7;YKK;537.999.992.371;-130.432.998.657
Powell Lake Seaplane Base;CAQ8;WPL;498.833.007.812;-124.532.997.131
Qualicum Beach Airport;CAT4;XQU;493.372;-124.393.997
Port Mcneill Airport;CAT5;YMP;505.755.996.704;-127.028.999.329
Rivers Inlet Seaplane Base;CAU8;YRN;51.683.985;-127.264.044
Sullivan Bay Seaplane Base;CAV5;YTG;50.885.359;-126.831.069
Mansons Landing Seaplane Base;CAV7;YMU;500.666.999.817;-124.983.001.709
Mayne Island Seaplane Base;CAW7;YAV;488.666.992.188;-123.300.003.052
Bella Bella/Shearwater Seaplane Base;CAW8;YSX;52.150.002;-12.808.299
Ganges Seaplane Base;CAX6;YGG;488.545;-1.234.969
Hartley Bay Seaplane Base;CAY4;YTB;53.416.698;-129.25
Cache Creek-Ashcroft Regional Airport;CAZ5;YZA;50.775.258;-121.321.314
Bella Bella (Campbell Island) Airport;CBBC;ZEL;52.185.001;-128.156.994
Cherrabun Airport;CBC;CBC;-18.917.777.777.800.000;125.537.777.778
Telegraph Creek Airport;CBM5;YTX;57.916.698;-131.117.007
Alberni Valley Regional Airport;CBS8;YPB;49.321.899;-124.931
Bob Quinn Lake Airport;CBW4;YBO;569.667.015.076;-130.25
Tungsten (Cantung) Airport;CBX5;TNS;61.956.901.550.293;-12.820.300.292.969
Tumbler Ridge Airport;CBX7;TUX;55.025.001.525.879;-12.093.499.755.859
Williams Harbour Airport;CCA6;YWM;52.566.898.345.947.200;-55.784.698.486.328.100
Postville Airport;CCD4;YSO;549.105;-5.978.507
Black Tickle Airport;CCE4;YBI;534.693.984.985;-55.784.999.847.399.900
St. Lewis (Fox Harbour) Airport;CCK4;YFX;52.372.798.919.677.700;-5.567.390.060.424.800
Port Hope Simpson Airport;CCP4;YHA;52.528.099.060.058.500;-5.628.609.848.022.460
Rigolet Airport;CCZ2;YRG;541.796.989.440.918;-5.845.750.045.776.360
George T Lewis Airport;CDK;CDK;291.352.567.648;-830.483.901.501
Diavik Airport;CDK2;DVK;645.113.983.154;-110.289.001.465
Doris Lake;CDL7;JOJ;681.252.746.582;-106.585.281.372
Fairview Airport;CEB5;ZFW;56.081.401.825;-118.434.997.559
Hinton/Jasper-Hinton Airport;CEC4;YJP;533.191.986.084;-117.752.998.352
Whatì Airport;CEM3;YLE;6.313.169.860.839.840;-11.724.600.219.726.500
Grande Cache Airport;CEQ5;YGC;53.916.900.634.766;-11.887.400.054.932
Drayton Valley Industrial Airport;CER3;YDC;53.265.800.476.074;-11.495.999.908.447
Fort McMurray / Mildred Lake Airport;CER4;NML;570.555.992.126;-111.573.997.498
St. Paul Airport;CEW3;ZSP;539.933.013.916;-111.379.997.253
Taltheilei Narrows Airport;CFA7;GSL;625.980.987.549;-111.542.999.268
Macmillan Pass Airport;CFC4;XMP;63.181.098.938;-13.020.199.585
Great Bear Lake Airport;CFF4;DAS;667.031.021.118;-119.707.000.732
Fort Mackay / Firebag;CFG6;YFI;57.275.833;-110.976.666
Wekweètì Airport;CFJ2;YFJ;64.190.804;-114.077.002
Donnelly Airport;CFM4;YOE;557.094;-117.094.002
Cheadle Airport;CFQ4;TIL;51.057.498.931.885;-11.362.400.054.932
Okoyo Airport;CG-OKG;OKG;-14.483.300.447.464;15.073.300.361.633
Craig Seaplane Base;CGA;CGA;5.547.880.172.729.490;-1.331.479.949.951.170
Cape Gloucester Airport;CGC;CGC;-5.458.965;148.432.417
Casiguran Airport;CGG;CGG;161.941;1.220.651
Chinguetti Airport;CGT;CGT;205.055;-123.978
Grenchen;CH-0009;ZHI;0;0
Grenchen;CH-0010;ZHI;0;0
Grenchen;CH-0011;ZHI;0;0
Circle Hot Springs Airport;CHP;CHP;65.485.496.521;-144.610.992.432
Chomley Seaplane Base;CIV;CIV;55.217;-132.21
Laurie River Airport;CJC8;LRQ;562.486.000.061;-101.304.000.854
Hatchet Lake Airport;CJL2;YDJ;58.662.498.474.121;-10.353.800.201.416
Kasba Lake Airport;CJL8;YDU;60.291.900.634.766;-10.250.199.890.137
Fort Reliance Seaplane Base;CJN8;YFL;62.7;-109.167
Cluff Lake Airport;CJS3;XCL;583.911.018.372;-10.951.599.884
Knee Lake Airport;CJT3;YKE;54.915.298;-94.798.103
Summer Beaver Airport;CJV7;SUR;5.270.859.909.057.610;-8.854.190.063.476.560
Crooked Creek Airport;CJX;CKD;618.679.008.484;-158.134.994.507
Tisdale Airport;CJY3;YTT;52.836.700.439.453;-10.406.700.134.277
Wapekeka Airport;CKB6;YAX;5.384.920.120.239.250;-8.957.939.910.888.670
Wunnumin Lake Airport;CKL3;WNN;5.289.390.182.495.110;-8.928.919.982.910.150
Opapimiskan Lake Airport;CKM8;YBS;526.067.008.972;-903.768.997.192
North Spirit Lake Airport;CKQ3;YNO;524.900.016.784.668;-9.297.109.985.351.560
Crane Island Airstrip;CKR;CKR;485.978;-1.229.979
Cordova Municipal Airport;CKU;CKU;605.438.995.361;-145.727.005.005
North of Sixty Airport;CKV4;YDW;60.316.398.620.605;-10.312.899.780.273
Chicken Airport;CKX;CKX;640.712.966.919;-14.195.199.585
Clear Lake Metroport;CLC;CLC;295.555;-951.383
Coalinga Airport;CLG;CLG;361.580.433.385;-120.360.116.959
New Cametá Airport;CMT;CMT;-22.468;-49.56
Caia Airport;CMZ;CMZ;-178.331;353.341
Tangshan Sannühe Airport;CN-0005;TVS;397.178.001.404;118.002.624.512
[Duplicate] Gu-Lian Airport;CN-0011;OHE;52.913.917;122.427.768
Yuanmou Air Base;CN-0012;YUA;25.737.499.237.061;10.188.200.378.418
Zhangjiakou Ningyuan Airport;CN-0024;ZQZ;407.386.016.846;114.930.000.305
Baoshan Yunduan Airport;CN-0027;BSD;25.053.301;99.168.297
Dazu Air Base;CN-0034;DZU;29.636.227;105.773.621
Lintsang Airfield;CN-0040;LNJ;23.738.100.051.900.000;100.025.001.526
Shigatse Air Base;CN-0046;RKZ;293.519;89.311.401
Bao'anying Airport;CN-0050;PZI;26.54;10.179.852
Foshan Shadi Airport;CN-0061;FUO;23.083.299.636.799.900;113.069.999.695
Huizhou Airport;CN-0068;HUZ;230.499.992.371;114.599.998.474
Shaoguan Guitou Airport;CN-0079;HSC;249.785.995.483;11.342.099.762
Jinggangshan Airport;CN-0081;JGS;26.856.899.261.499.900;114.736.999.512
Baise Youjiang Airport;CN-0082;AEB;237.206.001.282;106.959.999.084
Dongying Shengli Airport;CN-0091;DOY;375.085.983.276;118.788.002.014
Xingcheng Air Base;CN-0104;XEN;40.580.299.377.399.900;120.697.998.047
Altay Air Base;CN-0113;AAT;477.498.855.591;8.808.580.780.030.000
Tianshui Maijishan Airport;CN-0130;THQ;345.593.986.511;10.586.000.061
Zhangye Ganzhou Airport;CN-0143;YZY;388.018.989.563;100.675.003.052
Dandong Airport;CN-0189;DDG;400.247;124.286.003
Nantong Airport;CN-NTG;NTG;320.708.007.812;120.975.997.925
Bearskin Lake Airport;CNE3;XBE;53.965.599.060.058.500;-910.271.987.915.039
Natuashish Airport;CNH2;YNP;55.913.898;-61.184.399
White River Seaplane Base;CNJ8;YWR;486.269;-85.223.297
Parry Sound Area Municipal Airport;CNK4;YPD;452.575;-79.829.697
Brockville - Thousand Islands Regional Tackaberry Airport;CNL3;XBR;446.394.004.822;-757.502.975.464
Kingfisher Lake Airport;CNM5;KIF;5.301.250.076.293.940;-8.985.530.090.332.030
Ogoki Post Airport;CNT3;YOG;516.585.998.535;-859.017.028.809
Proma Heliport;CO-0039;PRM;4.728.056;-74.084.444
Isa Giron Heliport;CO-0049;ISG;7.058.333;-73.129.722
El Troncal Airport;CO-ARQ;ARQ;702.106;-71.388.901
La Chorrera Airport;CO-LCR;LCR;-0.733333;-7.301.667
Las Cruces Airport;CO-SNT;SNT;738.322;-73.505.402
Tarapacá Airport;CO-TCD;TCD;-2.867;-69.733.002
Bar River Airport;CPF2;YEB;4.642.029.953;-840.922.012.329
Cape Orford Airport;CPI;CPI;-544.833.333.333;152.081.944.444
Parry Sound/Frying Pan Island-Sans Souci Seaplane Base;CPS9;YSI;45.173.302;-80.137.497
Poplar Hill Airport;CPV7;YHP;5.211.330.032.348.630;-9.425.559.997.558.590
Keewaywin Airport;CPV8;KEW;52.991.100.311.299.900;-928.364.028.931
Sable Island Landing Strip;CSB2;YSA;43.930.292;-59.960.289
Lebel-sur-Quevillon Airport;CSH4;YLS;490.303.001.404;-770.171.966.553
Snap Lake Airport;CSK6;YNX;63.593.601;-110.905.998
La Sarre Airport;CSR8;SSQ;48.917.198.181.152;-79.178.596.496.582
Chisasibi Airport;CSU2;YKU;53.805.599.212.646.400;-7.891.690.063.476.560
Rentschler Heliport;CT88;EHT;417.517;-726.253
Tête-à-la-Baleine Airport;CTB6;ZTB;50.674.400.329.589.800;-5.938.359.832.763.670
Kegaska Airport;CTK6;ZKG;501.958.007.812;-61.265.800.476.100.000
Chute-Des-Passes/Lac Margane Seaplane Base;CTM3;YWQ;499.434;-71.138
Donaldson Airport;CTP9;YAU;616.622.009.277;-733.214.035.034
Ottawa / Rockcliffe Seaplane Base;CTR7;TR7;45.463.832.946.100.000;-7.564.254.283.910.000
Fontanges Airport;CTU2;YFG;54.553.901.672.363;-71.173.301.696.777
Lac Gagnon Seaplane Base;CTU4;YGA;46.117.500.305.176;-75.115.303.039.551
La Tabatière Airport;CTU5;ZLT;508.307.991.027.832;-5.897.560.119.628.900
Preston Airport;CU-0003;PST;20.735.000.610.351.500;-756.583.023.071.289
Culion Airport;CUJ;CUJ;118.553;1.199.378
Hollister Municipal Airport;CVH;HLI;368.932.991.028;-121.410.003.662
Cape Vogel Airport;CVL;CVL;-9.67;150.019.722.222
Hughes Airport;CVR;CVR;33.975;-118.417
Chitina Airport;CXC;CXC;61.582.901.001;-144.427.001.953
Geçitkale Air Base;CY-0002;GEC;352.359.466.553;33.724.357.605
Nicosia International Airport;CY-NIC;NIC;351.507.987.976;332.787.017.822
Arctic Bay Airport;CYAB;YAB;730.057.668.174;-850.425.052.643
Cat Lake Airport;CYAC;YAC;5.172.719.955.444.330;-9.182.440.185.546.870
La Grande-3 Airport;CYAD;YAR;535.717.010.498;-7.619.640.350.339.990
Fort Frances Municipal Airport;CYAG;YAG;4.865.420.150.756.830;-93.439.697.265.625
La Grande-4 Airport;CYAH;YAH;53.754.699.707;-736.753.005.981
Alert Bay Airport;CYAL;YAL;5.058.219.909.667.960;-12.691.600.036.621.000
Sault Ste Marie Airport;CYAM;YAM;4.648.500.061.035.150;-845.093.994.140.625
Kasabonika Airport;CYAQ;XKS;5.352.470.016.479.490;-886.427.993.774.414
Kangirsuk Airport;CYAS;YKG;60.027.198.791.503.900;-6.999.919.891.357.420
Attawapiskat Airport;CYAT;YAT;529.275.016.784.668;-8.243.190.002.441.400
Halifax / CFB Shearwater Heliport;CYAW;YAW;446.397.018.433;-63.499.401.092.499.900
St. Anthony Airport;CYAY;YAY;513.918.991.089;-56.083.099.365.200.000
Tofino / Long Beach Airport;CYAZ;YAZ;49.079.833;-125.775.583
Banff Airport;CYBA;YBA;51.207.340.469.900.000;-115.541.861.057
Kugaaruk Airport;CYBB;YBB;68.534.401;-89.808.098
Baie Comeau Airport;CYBC;YBC;4.913.249.969.482.420;-6.820.439.910.888.670
Bella Coola Airport;CYBD;QBC;52.387.501;-126.596.001
Uranium City Airport;CYBE;YBE;595.614.013.671.875;-10.848.100.280.761.700
Bonnyville Airport;CYBF;YBY;54.304.199;-110.744.003
CFB Bagotville;CYBG;YBG;4.833.060.073.852.530;-7.099.639.892.578.120
Baker Lake Airport;CYBK;YBK;6.429.889.678.960.000;-96.077.796.936
Campbell River Airport;CYBL;YBL;49.950.801.849.365.200;-12.527.100.372.314.400
CFB Borden;CYBN;YBN;44.271.701.812.699.900;-7.991.249.847.410.000
Tadoule Lake Airport;CYBQ;XTL;587.061;-98.512.199
Brandon Municipal Airport;CYBR;YBR;49.91;-99.951.897
Brochet Airport;CYBT;YBT;578.894;-101.679.001
Berens River Airport;CYBV;YBV;52.358.898;-97.018.303
Lourdes de Blanc Sablon Airport;CYBX;YBX;51.443.599.700.899.900;-57.185.298.919.699.900
Cartwright Airport;CYCA;YRF;5.368.280.029.296.870;-57.041.900.634.765.600
Cambridge Bay Airport;CYCB;YCB;691.081.008.911;-105.138.000.488
Cornwall Regional Airport;CYCC;YCC;4.509.280.014.038.080;-7.456.330.108.642.570
Nanaimo Airport;CYCD;YCD;49.054.970.224.899.900;-123.869.862.556
Centralia / James T. Field Memorial Aerodrome;CYCE;YCE;43.285.599;-81.508.301
Castlegar/West Kootenay Regional Airport;CYCG;YCG;492.963.981.628;-117.632.003.784
Miramichi Airport;CYCH;YCH;47.007.801;-65.449.203
Chatham Kent Airport;CYCK;XCM;423.064.002.991;-820.819.015.503
Charlo Airport;CYCL;YCL;47.990.799;-66.330.299
Cochrane Airport;CYCN;YCN;4.910.559.844.970.700;-8.101.360.321.044.920
Kugluktuk Airport;CYCO;YCO;67.816.704;-115.143.997
Chetwynd Airport;CYCQ;YCQ;55.687.198.638.916.000;-12.162.699.890.136.700
Cross Lake (Charlie Sinclair Memorial) Airport;CYCR;YCR;54.610.599.517.822.200;-9.776.080.322.265.620
Chesterfield Inlet Airport;CYCS;YCS;63.346.900.939.899.900;-9.073.110.198.970.000
Coronation Airport;CYCT;YCT;520.750.007.629;-111.444.999.695
Cartierville Airport;CYCV;YCV;45.516.700.744.628.900;-737.166.976.928.711
Chilliwack Airport;CYCW;YCW;491.528.015.137;-121.939.002.991
Clyde River Airport;CYCY;YCY;704.860.992.432;-685.167.007.446
Fairmont Hot Springs Airport;CYCZ;YCZ;50.330.299.377.399.900;-115.873.001.099
San Ignacio Downtown Airstrip;CYD;CYD;272.906;-1.128.851
Dawson City Airport;CYDA;YDA;6.404.309.844.970.700;-1.391.280.059.814.450
Burwash Airport;CYDB;YDB;6.137.110.137.939.450;-13.904.100.036.621.000
Deer Lake Airport;CYDF;YDF;4.921.080.017.089.840;-5.739.139.938.354.490
Dease Lake Airport;CYDL;YDL;584.221.992.493;-130.031.997.681
Ross River Airport;CYDM;XRR;619.706.001.282;-13.242.300.415
Dauphin Barker Airport;CYDN;YDN;51.100.799.560.546.800;-100.052.001.953.125
Dolbeau St Felicien Airport;CYDO;YDO;48.778.499.603.271;-72.375
Nain Airport;CYDP;YDP;56.549.198.150.634.700;-61.680.301.666.259.700
Dawson Creek Airport;CYDQ;YDQ;557.422.981.262.207;-12.018.299.865.722.600
Edmonton International Airport;CYEG;YEG;53.309.700.012.200.000;-113.580.001.831
Arviat Airport;CYEK;YEK;610.942.001.343;-9.407.080.078.119.990
Elliot Lake Municipal Airport;CYEL;YEL;46.351.398.468;-825.614.013.672
Manitoulin East Municipal Airport;CYEM;YEM;4.584.280.014.038.080;-8.185.810.089.111.320
Estevan Airport;CYEN;YEN;492.103.004.456;-102.966.003.418
